"Compound_ID","MOA"
"Erdosteine","mucolytic agent"
"Ergosterol","vitamin D precursor"
"Erlotinib","EGFR inhibitor"
"Erlotinib HCl (OSI-744)","EGFR inhibitor"
"Ertapenem sodium","bacterial cell wall synthesis inhibitor"
"Ertugliflozin","sodium/glucose cotransporter inhibitor"
"Erythromycin","cytochrome P450 inhibitor, protein synthesis inhibitor"
"Erythromycin Cyclocarbonate","bacterial cell wall synthesis inhibitor"
"Erythromycin estolate","NFkB pathway inhibitor"
"Erythromycin Ethylsuccinate","cytochrome P450 inhibitor, protein synthesis inhibitor"
"Erythromycin thiocyanate","bacterial cell wall synthesis inhibitor"
"Escin","nitric oxide synthase stimulant"
"Escitalopram Oxalate","selective serotonin reuptake inhibitor (SSRI)"
"Esculetin","lipoxygenase inhibitor"
"Esculin","antioxidant"
"Eslicarbazepine Acetate","sodium channel blocker"
"Esmolol HCl","adrenergic receptor antagonist"
"Esomeprazole sodium","ATPase inhibitor"
"Esomeprazole Sodium","ATPase inhibitor"
"Estradiol","estrogen receptor agonist, estrogenic hormone"
"Estradiol Benzoate","estrogen receptor agonist"
"Estradiol Cypionate","estrogen receptor agonist"
"Estradiol valerate","estrogen receptor agonist"
"Estramustine phosphate sodium","tubulin polymerization inhibitor"
"Estriol","estrogen receptor agonist"
"Estrone","estrogen receptor agonist, estrogenic hormone"
"Estropipate","estrogen receptor agonist"
"ETC-1002","AMPK inhibitor"
"Ethacridine lactate monohydrate","DNA intercalating agent"
"Ethacrynic Acid","sodium/potassium/chloride transporter inhibitor"
"Ethambutol 2HCl","bacterial cell wall synthesis inhibitor"
"Ethambutol HCl","bacterial cell wall synthesis inhibitor"
"Ethamsylate","haemostatic agent"
"Ethinyl Estradiol","estrogen receptor agonist, estrogenic hormone"
"Ethionamide","mycolic synthesis inhibitor"
"Ethisterone","progestogen hormone"
"Ethopabate","antiprotozoal agent"
"Ethosuximide","succinimide antiepileptic"
"Ethotoin","hydantoin antiepileptic"
"Ethoxyquin","antioxidant"
"Ethoxzolamide","carbonic anhydrase inhibitor"
"Ethylparaben","bacterial cell wall synthesis inhibitor"
"Ethynodiol diacetate","estrogen receptor agonist"
"Etidronate","bone resorption inhibitor"
"Etodolac","cyclooxygenase inhibitor"
"Etofenamate","cyclooxygenase inhibitor"
"Etofibrate","PPAR receptor agonist"
"Etofylline","adenosine receptor antagonist"
"Etomidate","GABA receptor modulator"
"Etonogestrel","progesterone receptor agonist"
"Etoposide","topoisomerase inhibitor"
"Etoricoxib","cyclooxygenase inhibitor"
"ETP-46464","ATR kinase inhibitor"
"Etravirine (TMC125)","non-nucleoside reverse transcriptase inhibitor"
"Etretinate","protein synthesis inhibitor"
"Eucalyptol","acetylcholinesterase inhibitor"
"Eugenol","androgen receptor antagonist"
"EUK 134","catalase stimulant"
"Eupatilin","mucus protecting agent"
"Evacetrapib (LY2484595)","cholesteryl ester transfer protein inhibitor"
"Evans Blue","glutamate receptor antagonist"
"Everolimus (RAD001)","mTOR inhibitor"
"Evobrutinib","Bruton's tyrosine kinase (BTK) inhibitor"
"Evodiamine","TRPV agonist, ATPase inhibitor"
"Evofosfamide (TH-302)","DNA alkylating agent"
"EX 527 (Selisistat)","SIRT inhibitor"
"Exemestane","aromatase inhibitor"
"Ezetimibe","Niemann-Pick C1-like 1 protein antagonist, cholesterol inhibitor"
"Fadrozole","aromatase inhibitor"
"Famciclovir","DNA polymerase inhibitor"
"Famotidine","histamine receptor antagonist"
"Fangchinoline","nucleoside reverse transcriptase inhibitor"
"Faropenem Sodium","bacterial cell wall synthesis inhibitor"
"Fasudil (HA-1077) HCl","rho associated kinase inhibitor"
"Favipiravir (T-705)","RNA polymerase inhibitor"
"FDL169","CFTR channel agonist"
"Febantel","bacterial cell wall synthesis inhibitor"
"Febuxostat","xanthine oxidase inhibitor"
"Felbamate","glutamate receptor antagonist"
"Felodipine","calcium channel blocker"
"Fenbendazole","tubulin polymerization inhibitor"
"Fenbufen","cyclooxygenase inhibitor"
"Fendiline hydrochloride","calcium channel blocker"
"Fenipentol","choleretic agent"
"Fenofibrate","PPAR receptor agonist"
"Fenofibric acid","cytochrome P450 inhibitor"
"Fenoldopam mesylate","dopamine receptor agonist"
"Fenoprofen Calcium","prostaglandin inhibitor"
"Fenoprofen calcium hydrate","cyclooxygenase inhibitor"
"Fenoterol hydrobromide","adrenergic receptor agonist"
"Fenretinide","retinoid receptor agonist, apoptosis stimulant"
"Fenspiride HCl","bronchodilator"
"Fenticonazole Nitrate","bacterial cell wall synthesis inhibitor"
"Ferrostatin-1 (Fer-1)","ferroptosis inhibitor"
"Ferulic Acid","antioxidant"
"Fesoterodine Fumarate","acetylcholine receptor antagonist"
"Fexinidazole","thymidylate synthase inhibitor"
"Fexofenadine HCl","histamine receptor antagonist"
"FF-10101","FLT3 inhibitor"
"FG-4592","hypoxia inducible factor prolyl hydroxylase inhibitor"
"FGF401","FGFR inhibitor"
"FH1(BRD-K4477)","hepatocyte function enhancer"
"Fidaxomicin","RNA polymerase inhibitor"
"Filgotinib (GLPG0634)","JAK inhibitor"
"Fimasartan","angiotensin receptor antagonist"
"Finasteride","5 alpha reductase inhibitor"
"Fingolimod","sphingosine phosphate receptor agonist, immunosuppressant"
"Fipexide hydrochloride","psychoactive drug"
"Fipronil","GABA gated chloride channel blocker, chloride channel blocker"
"Firsocostat (GS-0976)","acetyl-CoA carboxylase inhibitor"
"Fisetin","Aurora kinase inhibitor"
"Flavopiridol (Alvocidib)","CDK inhibitor"
"Flavopiridol HCl","CDK inhibitor"
"Flavoxate HCl","acetylcholine receptor antagonist"
"FLI-06","notch signaling inhibitor"
"Flibanserin","serotonin receptor agonist"
"Flopropione","serotonin receptor antagonist"
"Florfenicol","protein synthesis inhibitor"
"Floxuridine","DNA synthesis inhibitor"
"Flubendazole","tubulin polymerization inhibitor"
"Flucloxacillin sodium","bacterial cell wall synthesis inhibitor"
"Fluconazole","sterol demethylase inhibitor"
"Flucytosine","other antifungal"
"Fludarabine","ribonucleotide reductase inhibitor"
"Fludarabine Phosphate","ribonucleotide reductase inhibitor"
"Flufenamic acid","chloride channel blocker"
"Flumazenil","benzodiazepine receptor antagonist"
"Flumequine","topoisomerase inhibitor"
"Flumethasone","glucocorticoid receptor agonist"
"Flunarizine 2HCl","calcium channel blocker"
"Flunixin Meglumin","prostanoid receptor antagonist"
"Fluocinolone Acetonide","glucocorticoid receptor agonist"
"Fluocinonide","glucocorticoid receptor agonist"
"Fluorescein","indicator dye"
"Fluorometholone","glucocorticoid receptor agonist"
"Fluorouracil (5-Fluoracil. 5-FU)","thymidylate synthase inhibitor"
"Fluoxetine HCl","selective serotonin reuptake inhibitor (SSRI)"
"Flupenthixol dihydrochloride","dopamine receptor antagonist"
"Fluphenazine dihydrochloride","dopamine receptor antagonist"
"Flupirtine maleate","glutamate receptor antagonist"
"Fluralaner","GABA receptor antagonist"
"Flurbiprofen","cyclooxygenase inhibitor"
"Flurbiprofen Axetil","cyclooxygenase inhibitor"
"Flutamide","androgen receptor antagonist"
"fluticasone furoate","adrenergic receptor antagonist"
"Fluticasone propionate","glucocorticoid receptor agonist"
"Fluvastatin Sodium","HMGCR inhibitor"
"Fluvoxamine maleate","selective serotonin reuptake inhibitor (SSRI)"
"Folic acid","folate receptor ligand"
"Fomepizole","alcohol dehydrogenase inhibitor"
"Foretinib (GSK1363089)","VEGFR inhibitor"
"Formestane","aromatase inhibitor"
"Formononetin","alcohol dehydrogenase inhibitor"
"Formoterol Hemifumarate","adrenergic receptor agonist"
"Forskolin","adenylyl cyclase activator"
"Fosamprenavir calcium salt","HIV protease inhibitor"
"Fosaprepitant dimeglumine salt","tachykinin antagonist"
"Foscarnet Sodium","DNA polymerase inhibitor"
"Fosfluconazole","other antifungal"
"Fosfomycin Disodium","bacterial cell wall synthesis inhibitor"
"Fosfosal","phosphodiesterase inhibitor"
"Fosinopril Sodium","angiotensin receptor antagonist"
"Fostamatinib (R788)","SYK inhibitor"
"FPH1 (BRD-6125)","hepatocyte function enhancer"
"Frovatriptan Succinate","serotonin receptor antagonist"
"Fructose","phosphorylase inhibitor"
"Fruquintinib","VEGFR inhibitor"
"FT-207 (NSC 148958)","thymidylate synthase inhibitor"
"Fudosteine","mucolytic agent"
"Fulvestrant","estrogen receptor antagonist"
"Fumagillin","methionine aminopeptidase inhibitor"
"Furaltadone HCl","bacterial DNA inhibitor"
"Furazolidone","bacterial DNA inhibitor"
"Furosemide","diuretic"
"Fursultiamine","vitamin B"
"Fusidate Sodium","bacterial cell wall synthesis inhibitor"
"Fusidine","bacterial cell wall synthesis inhibitor"
"G1T38","CDK inhibitor"
"Gabapentin HCl","calcium channel blocker"
"Gabexate Mesylate","serine protease inhibitor"
"Gadodiamide","radiopaque medium"
"Gadodiamide Hydrate","radiopaque medium"
"Galanthamine","acetylcholinesterase inhibitor"
"Galeterone","androgen receptor modulator"
"Gallamine Triethiodide","acetylcholine receptor antagonist"
"Gallic acid","PPAR receptor agonist, beta amyloid protein neurotoxicity inhibitor"
"Gamithromycin","antibacterial"
"Ganciclovir","DNA polymerase inhibitor"
"Gandotinib (LY2784544)","JAK inhibitor"
"Ganetespib (STA-9090)","HSP inhibitor"
"Garenoxacin","topoisomerase inhibitor"
"Gatifloxacin","bacterial DNA gyrase inhibitor"
"GDC-0068","AKT inhibitor"
"GDC-0084","mTOR inhibitor, PI3K inhibitor"
"GDC-0152","XIAP inhibitor"
"GDC-0349","Pim kinase inhibitor"
"GDC-0879","RAF inhibitor"
"GDC-0941","PI3K inhibitor"
"GDC-0980 (RG7422)","PI3K inhibitor, mTOR inhibitor"
"Gefarnate","mucin production enhancer"
"Gefitinib (ZD1839)","EGFR inhibitor"
"Gefitinib hydrochloride","EGFR inhibitor"
"Geldanamycin","HSP inhibitor"
"Gemcitabine","ribonucleotide reductase inhibitor"
"Gemfibrozil","lipoprotein lipase activator"
"Geneticin (G418 Sulfate)","bacterial cell wall synthesis inhibitor"
"Genipin","choleretic agent"
"Geniposide","GLP receptor agonist"
"Geniposidic acid","cyclooxygenase inhibitor"
"Genistein","tyrosine kinase inhibitor"
"Gentamicin Sulfate","bacterial cell wall synthesis inhibitor"
"Gestodene","contraceptive agent"
"GHRP-2","vasopressin receptor agonist"
"Gilteritinib (ASP2215)","FLT3 inhibitor"
"Gimeracil","dihydropyrimidine dehydrogenase inhibitor"
"Ginkgolide A","GABA receptor antagonist"
"Ginkgolide B","platelet activating factor receptor antagonist"
"Givinostat (ITF2357)","HDAC inhibitor"
"GKT137831","NADPH oxidase inhibitor"
"Glafenine HCl","DeltaF508-CFTR Correctors"
"Glasdegib (PF-04449913)","hedgehog pathway inhibitor"
"Glecaprevir","serine protease inhibitor"
"Gliclazide","ATP channel blocker, insulin secretagogue"
"Glimepiride","insulin secretagogue"
"Glipizide","sulfonylurea"
"Gliquidone","sulfonylurea"
"GLPG1837","CFTR channel potentiator"
"Glucosamine","glycosylated protein precursor"
"Glutathione","antioxidant"
"Glyburide","sulfonylurea, ATP channel blocker, insulin secretagogue"
"Glycine","glutamate receptor antagonist"
"Glycopyrrolate","acetylcholine receptor antagonist"
"Glycyrrhizin (Glycyrrhizic Acid)","thrombin inhibitor"
"GNF-2","Bcr-Abl kinase inhibitor"
"Go 6983","protein kinase inhibitor"
"Golgicide A","ARF inhibitor"
"Golvatinib (E7050)","VEGFR inhibitor"
"Gonadorelin Acetate","gonadotropin releasing factor hormone receptor agonist"
"Goserelin Acetate","gonadotropin releasing factor hormone receptor agonist"
"Gossypol","BCL inhibitor, MCL1 inhibitor"
"Gramine","norepinephrine reputake inhibitor"
"Granisetron","serotonin receptor antagonist"
"Granisetron HCl","serotonin receptor antagonist"
"Grazoprevir","HCV inhibitor"
"Griseofulvin","tubulin polymerization inhibitor"
"GS-9620","toll-like receptor agonist"
"GSK J4 HCl","histone lysine demethylase inhibitor"
"GSK1059615","PI3K inhibitor"
"GSK1070916","Aurora kinase inhibitor"
"GSK1292263","glucose dependent insulinotropic receptor agonist"
"GSK1838705A","insulin growth factor receptor inhibitor"
"GSK1904529A","insulin growth factor receptor inhibitor, insulin receptor ligand, IGF-1 inhibitor"
"GSK2126458 (GSK458)","PI3K inhibitor, mTOR inhibitor"
"GSK2256098","kinase inhibitor"
"GSK256066","phosphodiesterase inhibitor"
"GSK2636771","PI3K inhibitor"
"GSK2656157","PERK inhibitor"
"GSK2879552 2HCl","histone lysine demethylase inhibitor"
"GSK2981278","ROR modulator"
"GSK2982772","RIPK inhibitor"
"GSK3787","PPAR receptor antagonist"
"GSK429286A","rho associated kinase inhibitor"
"GSK461364","PLK inhibitor"
"GSK690693","AKT inhibitor"
"Guaiacol","local anesthetic"
"Guaifenesin","expectorant"
"Guanabenz Acetate","adrenergic receptor agonist"
"Guanethidine Monosulfate","adrenergic inhibitor"
"Guanfacine Hydrochloride","adrenergic receptor agonist"
"Guanidine HCl","HSP inhibitor"
"GW0742","PPAR receptor agonist"
"GW2580","cFMS kinase inhibitor"
"GW3965 HCl","LXR agonist"
"GW4064","FXR agonist"
"GW441756","tropomyosin receptor kinase inhibitor"
"GW5074","RAF inhibitor, leucine rich repeat kinase inhibitor"
"GW788388","ALK tyrosine kinase receptor inhibitor"
"GW842166X","cannabinoid receptor agonist"
"GW9508","free fatty acid receptor agonist, G protein-coupled receptor agonist"
"GW9662","PPAR receptor antagonist"
"Gynostemma Extract","calcium channel modulator"
"GZD824 Dimesylate","Bcr-Abl kinase inhibitor"
"H 89 2HCl","PKA inhibitor"
"HA14-1","BCL inhibitor"
"Halcinonide","glucocorticoid receptor agonist"
"Halofuginone","collagenase inhibitor"
"Haloperidol","psychoactive drug, dopamine receptor antagonist"
"Haloperidol Decanoate","psychoactive drug"
"Halothane","glutamate receptor antagonist"
"Harmaline","acetylcholine receptor antagonist"
"Harmine hydrochloride","DYRK inhibitor"
"Harringtonine","protein synthesis inhibitor"
"HC-030031","TRPA1 channel blocker"
"Heparin sodium","thrombin inhibitor"
"HER2-Inhibitor-1","EGFR inhibitor"
"Hesperadin","Aurora kinase inhibitor"
"Hesperetin","ACAT inhibitor"
"Hexachlorophene","potassium channel activator"
"Hexestrol","synthetic estrogen"
"Hexetidine","local anesthetic"
"Hexylresorcinol","local anesthetic"
"Histamine","histamine receptor agonist"
"Histamine 2HCl","histamine receptor agonist"
"Histamine Phosphate","histamine receptor agonist"
"HMN-214","PLK inhibitor"
"Homatropine Bromide","acetylcholine receptor antagonist"
"Homatropine Methylbromide","acetylcholine receptor antagonist"
"Homoharringtonine","protein synthesis inhibitor"
"Homoorientin","cyclooxygenase inhibitor"
"Homotaurine","beta amyloid protein neurotoxicity inhibitor"
"Honokiol","AKT inhibitor"
"HS-10296","EGFR inhibitor"
"Hydralazine HCl","vasodilator"
"Hydrochlorothiazide","thiazide diuretic"
"Hydrocortisone","glucocorticoid receptor agonist"
"Hydrocortisone acetate","glucocorticoid receptor agonist"
"Hydrocortisone butyrate","glucocorticoid receptor agonist"
"Hydroquinidine","antiarrhythmic"
"Hydroquinone","melanin inhibitor"
"Hydroxy Camptothecine","topoisomerase inhibitor"
"Hydroxychloroquine Sulfate","antimalarial agent"
"Hydroxyprogesterone caproate","estrogen receptor agonist"
"Hydroxyurea","ribonucleotide reductase inhibitor"
"Hydroxyzine 2HCl","antihistamine"
"Hygromycin B","bacterial cell wall synthesis inhibitor"
"Hyodeoxycholic acid (HDCA)","atherosclerosis formation inhibitor"
"Hyoscyamine","acetylcholine receptor antagonist"
"Hypoxanthine","PARP inhibitor"
"I-BET-762","bromodomain inhibitor"
"I-BET151 (GSK1210151A)","bromodomain inhibitor"
"Ibandronate sodium","bone resorption inhibitor"
"Iberdomide(CC220)","cyclooxygenase inhibitor"
"Ibrutinib (PCI-32765)","Bruton's tyrosine kinase (BTK) inhibitor"
"Ibudilast","leukotriene receptor antagonist, phosphodiesterase inhibitor"
"Ibuprofen","cyclooxygenase inhibitor"
"Ibuprofen Lysine","cyclooxygenase inhibitor"
"Ibuprofen piconol","cyclooxygenase inhibitor"
"Ibutilide Fumarate","potassium channel blocker"
"Icariin","phosphodiesterase inhibitor"
"ICG-001","beta-catenin inhibitor"
"Icotinib","EGFR inhibitor"
"Idarubicin HCl","topoisomerase inhibitor"
"Idasanutlin (RG-7388)","MDM inhibitor"
"Idebenone","calcium channel modulator"
"Idoxuridine","DNA directed DNA polymerase inhibitor"
"IEM 1754 dihydrobroMide","glutamate receptor antagonist"
"Ifenprodil Tartrate","glutamate receptor antagonist, adrenergic receptor antagonist"
"Ifosfamide","DNA alkylating agent"
"Iguratimod","NFkB pathway inhibitor, cyclooxygenase inhibitor"
"IKK-16 (IKK Inhibitor VII)","IKK inhibitor"
"Ilaprazole","proton pump inhibitor"
"Ilaprazole sodium","proton pump inhibitor"
"Ilomastat (GM6001. Galardin)","matrix metalloprotease inhibitor"
"Iloperidone","dopamine receptor antagonist, serotonin receptor antagonist"
"Imatinib (STI571)","KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor"
"Imatinib Mesylate (STI571)","KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor"
"IMD 0354","NFkB pathway inhibitor, IKK inhibitor"
"Imidafenacin","acetylcholine receptor antagonist"
"Imidapril HCl","angiotensin receptor antagonist"
"Imidocarb dipropionate","bacterial cell wall synthesis inhibitor"
"Imipenem","bacterial cell wall synthesis inhibitor"
"Imipramine HCl","serotonin reuptake inhibitor, norepinephrine reputake inhibitor"
"Imiquimod","interferon inducer, toll-like receptor agonist"
"Imperatorin","calcium channel blocker"
"INCB054329（INCB-054329.INCB-54329）","BET inhibitor"
"INCB057643","BET inhibitor"
"INCB28060","c-Met inhibitor"
"Indacaterol Maleate","adrenergic receptor agonist"
"Indapamide","thiazide diuretic"
"Indinavir Sulfate","HIV protease inhibitor"
"Indirubin","glycogen synthase kinase inhibitor, CDK inhibitor"
"Indobufen","platelet aggregation inhibitor, cyclooxygenase inhibitor"
"Indole-3-carbinol","indoleamine 2,3-dioxygenase inhibitor, aryl hydrocarbon receptor agonist"
"Indomethacin","cyclooxygenase inhibitor"
"Indoximod (NLG-8189）","indoleamine 2,3-dioxygenase inhibitor"
"Iniparib (BSI-201)","PARP inhibitor"
"INK 128 (MLN0128)","mTOR inhibitor"
"INO-1001","PARP inhibitor"
"Inosine","neurotrophic agent"
"Iopamidol","radiopaque medium"
"Iopanoic acid","thyroid hormone inhibitor"
"Iopromide","radiopaque medium"
"Ioversol","radiopaque medium"
"IOWH032","CFTR channel antagonist"
"IOX2","hypoxia inducible factor inhibitor"
"IPA-3","p21 activated kinase inhibitor"
"Ipatasertib (GDC-0068)","AKT inhibitor"
"Ipragliflozin (ASP1941)","sodium/glucose cotransporter inhibitor"
"Ipriflavone (Osteofix)","bone resorption inhibitor"
"Iproniazid","monoamine oxidase inhibitor"
"Irbesartan","angiotensin receptor antagonist"
"Irbinitinib (ARRY-380. ONT-380)","EGFR inhibitor"
"Irinotecan HCl Trihydrate","topoisomerase inhibitor"
"Irsogladine","phosphodiesterase inhibitor"
"Isatin","monoamine oxidase inhibitor"
"Isavuconazole","cytochrome P450 inhibitor"
"Isepamicin Sulphate","protein synthesis inhibitor"
"Isoconazole nitrate","fungal lanosterol demethylase inhibitor"
"Isoetharine Mesylate","adrenergic receptor agonist"
"Isoeugenol","bacterial cell wall synthesis inhibitor"
"Isoliquiritigenin","guanylate cyclase activator"
"Isoniazid","cyclooxygenase inhibitor"
"Isoprenaline HCl","adrenergic receptor agonist"
"Isopropamide Iodide","acetylcholine receptor antagonist"
"Isoproterenol sulfate dihydrate","adrenergic receptor antagonist"
"Isopsoralen","cyclooxygenase inhibitor"
"Isoquercitrin","antioxidant"
"Isosorbide","nitric oxide stimulant"
"Isosorbide Mononitrate","nitric oxide stimulant"
"Isotretinoin","retinoid receptor agonist"
"Isovaleramide","alcohol dehydrogenase inhibitor"
"Isoxsuprine hydrochloride","adrenergic receptor antagonist"
"Ispinesib (SB-715992)","kinesin inhibitor"
"Isradipine","calcium channel blocker"
"Istradefylline","adenosine receptor antagonist"
"Itacitinib (INCB39110)","JAK inhibitor"
"Itopride hydrochloride","dopamine receptor antagonist"
"Itraconazole","cytochrome P450 inhibitor"
"IU1","ubiquitin C-terminal hydrolase inhibitor"
"Ivabradine HCl","adrenergic receptor antagonist"
"Ivacaftor (VX-770)","CFTR channel potentiator"
"Ivermectin","benzodiazepine receptor agonist"
"Ivosidenib (AG-120)","isocitrate dehydrogenase inhibitor"
"IWP-L6","porcupine inhibitor"
"IWR-1-endo","porcupine inhibitor"
"JNJ-1661010","FAAH inhibitor"
"JNJ-26854165 (Serdemetan)","MDM inhibitor"
"JNJ-38877605","tyrosine kinase inhibitor"
"JNJ-38877618(OMO-1)","c-Met inhibitor"
"JNJ-7706621","CDK inhibitor"
"JNJ-7777120","histamine receptor antagonist"
"Josamycin","bacterial 50S ribosomal subunit inhibitor"
"JSH-23","NFkB pathway inhibitor"
"JTC-801","opioid receptor antagonist"
"JZL184","monoacylglucerol lipase inhibitor"
"K-Ras(G12C) inhibitor 6","K-ras inhibitor"
"K02288","bone morphogenic protein inhibitor"
"Kaempferol","bone resorption inhibitor, estrogen-related receptor inverse agonist"
"Kanamycin sulfate","bacterial 30S ribosomal subunit inhibitor"
"Kasugamycin hydrochloride","bacterial cell wall synthesis inhibitor"
"KD025 (SLx-2119)","rho associated kinase inhibitor"
"Ketanserin","serotonin receptor antagonist"
"Ketoconazole","sterol demethylase inhibitor"
"Ketoprofen","cyclooxygenase inhibitor"
"Ketorolac","cyclooxygenase inhibitor"
"Ketorolac tromethamine salt","cyclooxygenase inhibitor"
"Ketotifen Fumarate","leukotriene receptor antagonist, phosphodiesterase inhibitor, histamine receptor agonist"
"Kevetrin hydrochloride","p53 activator"
"Khellin","vasodilator"
"Ki16198","lipoprotein antagonist"
"Ki16425","lysophosphatidic acid receptor antagonist"
"Ki8751","KIT inhibitor, VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Kinetin","cell division inducer"
"Kitasamycin","bacterial cell wall synthesis inhibitor"
"Kojic acid","tyrosinase inhibitor"
"KPT-185","exportin antagonist"
"KPT-276","exportin antagonist"
"KPT-330","exportin antagonist"
"KRN 633","VEGFR inhibitor"
"KU-0063794","mTOR inhibitor"
"KU-55933 (ATM Kinase Inhibitor)","ATM kinase inhibitor"
"KU-60019","ATM kinase inhibitor"
"KW-2449","FLT3 inhibitor, Abl kinase inhibitor, Aurora kinase inhibitor"
"KW-2478","HSP inhibitor"
"KX2-391","tubulin polymerization inhibitor, src inhibitor"
"KY02111","Wnt pathway inhibitor"
"L-Adrenaline","adrenergic receptor agonist, neurotransmitter"
"L-arginine","nitric oxide precursor"
"L-Arginine HCl (L-Arg)","adenosine receptor antagonist"
"L-aspartic Acid","metallic radical formation stimulant"
"L-Citrulline","nitric oxide stimulant"
"L-Cycloserine","histone lysine methyltransferase inhibitor"
"L-lysine","serotonin receptor agonist"
"L-Lysine hydrochloride","serotonin receptor agonist"
"L-methionine","voltage-gated calcium channel ligand"
"L-NAME HCl","nitric oxide synthase inhibitor"
"L-Proline","glutamate receptor agonist"
"L-Theanine","glutamate receptor antagonist"
"L-Thyroxine","thyroid hormone stimulant"
"L-Tryptophan","serotonin receptor partial agonist"
"Labetalol HCl","adrenergic receptor antagonist"
"Lacidipine","calcium channel blocker"
"Lactitol","osmosis stimulant"
"Lactobionic acid","matrix metalloprotease inhibitor"
"Lactulose","laxative"
"Laetrile","caspase activator"
"Lafutidine","histamine receptor antagonist"
"Lamivudine","nucleoside reverse transcriptase inhibitor"
"Lamotrigine","sodium channel blocker, serotonin receptor antagonist"
"Lanabecestat（AZD3293. LY3314814）","beta secretase inhibitor"
"Lanatoside C","ATPase inhibitor"
"Landiolol hydrochloride","adrenergic receptor antagonist"
"Lanifibranor(IVA-337)","PPAR receptor agonist"
"Lansoprazole","ATPase inhibitor"
"Lanthanum(III) chloride heptahydrate","calcium channel blocker"
"Lapatinib","EGFR inhibitor"
"Lapatinib (GW-572016) Ditosylate","EGFR inhibitor"
"Lapatinib ditosylate monohydrate","EGFR inhibitor"
"Lappaconitine","sodium channel blocker"
"LAQ824 (Dacinostat)","HDAC inhibitor"
"Laquinimod","immunosuppressant"
"Larotrectinib (LOXO-101) sulfate","tropomyosin receptor kinase inhibitor"
"Lasmiditan succinate","serotonin receptor antagonist"
"Lasofoxifene Tartrate","selective estrogen receptor modulator (SERM)"
"Latamoxef sodium","antibacterial"
"Latanoprost","prostanoid receptor agonist"
"Lauric Acid","bacterial permeability inducer"
"Lazertinib (YH25448.GNS-1480)","EGFR inhibitor"
"LB42708","farnesyltransferase inhibitor"
"LCL161","XIAP inhibitor"
"LDE225 (NVP-LDE225.Erismodegib)","smoothened receptor antagonist"
"LDN-212854","bone morphogenic protein inhibitor"
"LDN-57444","ubiquitin C-terminal hydrolase inhibitor"
"Ledipasvir (GS5885)","HCV inhibitor"
"LEE011","CDK inhibitor"
"Leflunomide","PDGFR tyrosine kinase receptor inhibitor, dihydroorotate dehydrogenase inhibitor"
"Lenalidomide (CC-5013)","anticancer agent"
"leniolisib(CDZ 173)","PI3K inhibitor"
"Lentinan","cyclooxygenase inhibitor"
"Lenvatinib (E7080)","FGFR inhibitor, VEGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"lenvatinib Mesylate","FGFR inhibitor, VEGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Leonurine","anti-inflammatory agent"
"Lercanidipine","calcium channel blocker"
"Lesinurad","uric acid diuretic"
"Letermovir(AIC246)","CMV terminase inhibitor"
"Letrozole","aromatase inhibitor"
"Leuprolide Acetate","gonadotropin releasing factor hormone receptor agonist"
"Leuprorelin Acetate","gonadotropin releasing factor hormone receptor agonist"
"levalbuterol tartrate","adrenergic receptor antagonist"
"Levamisole hydrochloride","acetylcholine receptor agonist"
"Levamlodipine","calcium channel blocker"
"Levetiracetam","calcium channel blocker"
"Levobetaxolol HCl","adrenergic receptor antagonist"
"Levobupivacaine HCl","sodium channel blocker"
"Levocetirizine Dihydrochloride","histamine receptor antagonist"
"Levodropropizine","antitussive"
"Levofloxacin","bacterial DNA gyrase inhibitor"
"Levofloxacin hydrate","bacterial DNA gyrase inhibitor"
"Levomilnacipran Hydrochloride","serotonin receptor antagonist"
"Levonorgestrel","estrogen receptor agonist, glucocorticoid receptor antagonist, progesterone receptor antagonist, progesterone receptor agonist"
"Levosimendan","calcium sensitizer"
"Levosulpiride","dopamine receptor antagonist"
"LGK-974","porcupine inhibitor"
"LGX818","RAF inhibitor"
"Licofelone","lipoxygenase inhibitor, cyclooxygenase inhibitor"
"Lidocaine","histamine receptor agonist"
"Lidocaine hydrochloride","histamine receptor agonist"
"Lifitegrast","lymphocyte function-associated antigen negative modulator"
"Ligandrol (LGD-4033. VK-5211)","androgen receptor antagonist"
"Ligustilide","tumor necrosis factor production inhibitor"
"Ligustrazine hydrochloride","cyclooxygenase inhibitor"
"Limonin","HIV protease inhibitor"
"Linagliptin","dipeptidyl peptidase inhibitor"
"Linalool","anticonvulsant"
"Lincomycin HCl","bacterial 30S ribosomal subunit inhibitor"
"Lincomycin Hydrochloride Monohydrate","bacterial cell wall synthesis inhibitor"
"Linezolid","bacterial 50S ribosomal subunit inhibitor"
"Linifanib (ABT-869)","VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Linoleic acid","oxidative stress inducer"
"Liothyronine Sodium","thyroid hormone stimulant"
"Liquiritin","antioxidant"
"Lisinopril dihydrate","angiotensin converting enzyme inhibitor"
"Lobeline hydrochloride","acetylcholine receptor antagonist"
